chapter,Phrase,Sujet,Verbe,Objet,time_code,macro_categorie_dynamouv,categorie_base_dynamouv,aspect_lexical_dynamouv,maniere_dynamouv
3.0,"Un des meilleurs observateurs des usages anglais raconte même ceci: Dans une des salles de la Banque où il se trouvait un jour, il eut la curiosité de voir de plus près un lingot d' or pesant sept à huit livres, qui se trouvait exposé sur la tablette du caissier; il prit ce lingot, l' examina, le passa à son voisin, celui-ci à un autre, si bien que le lingot, de main en main, s' en alla jusqu' au fond d' un corridor obscur, et ne revint qu' une demi-heure après reprendre sa place, sans que le caissier eût seulement levé la tête.",il,passa,à son voisin,1872-09-29-00-00,Dpt au sens large,Dpt au sens strict,télique,
3.0,"Un des meilleurs observateurs des usages anglais raconte même ceci: Dans une des salles de la Banque où il se trouvait un jour, il eut la curiosité de voir de plus près un lingot d' or pesant sept à huit livres, qui se trouvait exposé sur la tablette du caissier; il prit ce lingot, l' examina, le passa à son voisin, celui-ci à un autre, si bien que le lingot, de main en main, s' en alla jusqu' au fond d' un corridor obscur, et ne revint qu' une demi-heure après reprendre sa place, sans que le caissier eût seulement levé la tête.",il,revint,qu'une demi-heure,1872-09-29-00-30,Dpt au sens large,Dpt au sens strict,télique,
3.0,"Pendant cette journée du 29 septembre, un gentleman bien mis, de bonnes manières, l' air distingué, avait été remarqué, qui allait et venait dans la salle des paiements, théâtre du vol.",qui,allait,dans la salle des paiements théâtre du vol,1872-09-29-00-00,Dpt au sens large,Dpt au sens strict,télique,
3.0,"Pendant cette journée du 29 septembre, un gentleman bien mis, de bonnes manières, l' air distingué, avait été remarqué, qui allait et venait dans la salle des paiements, théâtre du vol.",qui,venait,,1872-09-29-00-00,Dpt au sens large,Dpt au sens strict,télique,
3.0,"L' enquête avait permis de refaire assez exactement le signalement de ce gentleman, signalement qui fut aussitôt adressé à tous les détectives du Royaume - Uni et du continent quelques bons esprits- et Gauthier Ralph était du nombre- se croyaient donc fondés à espérer que le voleur n' échapperait pas.",le voleur,échapperait,,1872-09-29-00-00,Dpt au sens large,Dpt au sens strict,télique,manière
3.0,- Où voulez -vous qu' il aille?,il,aille,,1872-09-29-00-00,Dpt au sens large,Dpt au sens strict,télique,
3.0,"- Oui, quatre-vingts jours! s' écria, Andrew Stuart, qui par inattention, coupa une carte maîtresse, mais non compris le mauvais temps, les vents contraires, les naufrages, les déraillements, etc.",qui,coupa,par inattention,1872-09-29-00-00,Dpt au sens large,Dpt au sens strict,télique,
3.0,"- Oui, quatre-vingts jours! s' écria, Andrew Stuart, qui par inattention, coupa une carte maîtresse, mais non compris le mauvais temps, les vents contraires, les naufrages, les déraillements, etc.",qui,coupa,par inattention,1872-09-29-00-00,Dynamicité spatiale sans dpt,Ch. de disposition,télique,manière
3.0,"- Oui, quatre-vingts jours! s' écria, Andrew Stuart, qui par inattention, coupa une carte maîtresse, mais non compris le mauvais temps, les vents contraires, les naufrages, les déraillements, etc.",qui,coupa,une carte maîtresse mais non compris le mauvais temps les vents contraires les naufrages les déraillements etc.,1872-09-29-00-00,Dpt au sens large,Dpt au sens strict,télique,
3.0,"- Oui, quatre-vingts jours! s' écria, Andrew Stuart, qui par inattention, coupa une carte maîtresse, mais non compris le mauvais temps, les vents contraires, les naufrages, les déraillements, etc.",qui,coupa,une carte maîtresse mais non compris le mauvais temps les vents contraires les naufrages les déraillements etc.,1872-09-29-00-00,Dynamicité spatiale sans dpt,Ch. de disposition,télique,manière
3.0,-Je sauterai mathématiquement.,-Je,sauterai,,1872-09-29-00-00,Dynamicité spatiale sans dpt,Simple ch. de relation,télique,manière
3.0,"Il n' avait certainement pas parié pour gagner, et n' avait engagé ces vingt mille livres- la moitié de sa fortune- que parce qu' il prévoyait qu' il pourrait avoir à dépenser l' autre pour mener à bien ce difficile, pour ne pas dire inexécutable projet.",Il,gagner,,1872-09-29-20-00,Dpt au sens large,Dpt au sens strict,télique,
3.0,"Quant à ses adversaires, eux, ils paraissaient émus, non pas à cause de la valeur de l' enjeu, mais parce qu' ils se faisaient une sorte de scrupule de lutter dans ces conditions.",ils,paraissaient,Quant à ses adversaires,1872-09-29-20-00,Dpt au sens large,Dpt au sens strict,télique,
3.0,"Quant à ses adversaires, eux, ils paraissaient émus, non pas à cause de la valeur de l' enjeu, mais parce qu' ils se faisaient une sorte de scrupule de lutter dans ces conditions.",ils,paraissaient,eux,1872-09-29-20-00,Dpt au sens large,Dpt au sens strict,télique,
