groupe,entity_id,paragraph_ID,sentence_ID,start_token,end_token,text,time_kind,precision,annee,mois,jour,heure,minute,datetime_auto,time_code_auto,jour_romanesque,debut_auto,fin_auto,duration_value,duration_unit,duration_relation,regle
reference_evenement,676,1667,3728,72953,72958,le départ du paquebot de liverpool,reference_evenement,non_instancie,,,,,,,,,,,,,,reference_evenement
reference_evenement,831,1950,4355,83807,83813,après l' arrivée des voyageurs à londres,reference_evenement,non_instancie,,,,,,,,,,,,,,reference_evenement
non_parse,157,395,769,15038,15040,seize cent cinquante,non_parse,non_instancie,,,,,,,,,,,,,,non_parse
non_parse,164,398,779,15227,15229,deux mille ans,non_parse,non_instancie,,,,,,,,,,,,,,non_parse
non_parse,305,780,1604,31679,31683,trois mille cinq cents milles,non_parse,non_instancie,,,,,,,,,,,,,,non_parse
non_parse,480,1227,2644,51041,51043,son jeune âge,non_parse,non_instancie,,,,,,,,,,,,,,non_parse
non_parse,531,1346,2955,57636,57639,le quarante et unième,non_parse,non_instancie,,,,,,,,,,,,,,non_parse
non_parse,532,1346,2959,57729,57734,un mille et demi par jour,non_parse,non_instancie,,,,,,,,,,,,,,non_parse
non_parse,553,1359,3001,58982,58984,pendant quelques milles,non_parse,non_instancie,,,,,,,,,,,,,,non_parse
non_parse,605,1482,3286,65495,65498,près d' un mille,non_parse,non_instancie,,,,,,,,,,,,,,non_parse
non_parse,614,1490,3306,65961,65961,dont,non_parse,non_instancie,,,,,,,,,,,,,,non_parse
non_parse,639,1604,3561,70035,70037,pendant plusieurs milles,non_parse,non_instancie,,,,,,,,,,,,,,non_parse
non_parse,673,1663,3713,72668,72670,tout son parcours,non_parse,non_instancie,,,,,,,,,,,,,,non_parse
non_parse,742,1822,4043,78567,78567,que,non_parse,non_instancie,,,,,,,,,,,,,,non_parse
non_parse,800,1919,4289,82535,82541,", jour où james strand fut arrêté",non_parse,non_instancie,,,,,,,,,,,,,,non_parse
non_parse,801,1919,4289,82537,82537,où,non_parse,non_instancie,,,,,,,,,,,,,,non_parse
non_parse,815,1928,4316,83087,83089,la dernière minute,non_parse,non_instancie,,,,,,,,,,,,,,non_parse
non_parse,827,1944,4347,83673,83676,à la quarantième seconde,non_parse,non_instancie,,,,,,,,,,,,,,non_parse
non_parse,843,1963,4372,84038,84038,impossible,non_parse,non_instancie,,,,,,,,,,,,,,non_parse
