triplet_row,triplet_id,Num_paragr,Num_phrase,chapter,verbe,lemme_verbe,est_verbe_deplacement,lieu_entity_id,lieu_texte,lieu_normalise,lieu_id_auto,niveau_lieu,lieu_cat,prep_lieu,relation_lieu,lien_triptyque_lieu,distance_verbe_lieu,head_dependency_relation,head_syntactic_head_ID
9968,9968,1486,3295,,franchissait,franchir,True,2507,le fort sauders,fort sauders,lieu_precis::fort sauders,lieu_precis,FAC,,cadre,phrase_proche_deplacement,4,obj,65702
9968,9968,1486,3295,,franchissait,franchir,True,2508,cheyenne,cheyenne,toponyme::cheyenne,toponyme,LOC,de,source,objet,4,nmod,65709
9968,9968,1486,3295,,franchissait,franchir,True,2509,la passe d' evans,passe d' evans,toponyme::passe d' evans,toponyme,LOC,a,destination,phrase_proche_deplacement,8,obl:arg,65713
9969,9969,1486,3295,,arrivait,arriver,True,2505,le train,train,vehicule::train,vehicule,VEH,,destination,sujet,19,nsubj,65696
9969,9969,1486,3295,,arrivait,arriver,True,2507,le fort sauders,fort sauders,lieu_precis::fort sauders,lieu_precis,FAC,,destination,phrase_proche_deplacement,10,obj,65702
9969,9969,1486,3295,,arrivait,arriver,True,2508,cheyenne,cheyenne,toponyme::cheyenne,toponyme,LOC,de,source,phrase_proche_deplacement,2,nmod,65709
9969,9969,1486,3295,,arrivait,arriver,True,2509,la passe d' evans,passe d' evans,toponyme::passe d' evans,toponyme,LOC,a,destination,objet,2,obl:arg,65713
9970,9970,1486,3296,,atteignait,atteindre,True,2510,le rail - road,rail - road,vehicule::rail road,vehicule,VEH,,destination,sujet,4,nsubj,65728
9971,9971,1486,3296,,atteignait,atteindre,True,2510,le rail - road,rail - road,vehicule::rail road,vehicule,VEH,,destination,sujet,4,nsubj,65728
9971,9971,1486,3296,,atteignait,atteindre,True,2511,du niveau de l' océan,niveau de l' océan,toponyme::niveau de l' ocean,toponyme,LOC,de,source,objet,14,dep,65741
9971,9971,1486,3296,,atteignait,atteindre,True,2512,l' océan,océan,toponyme::ocean,toponyme,LOC,de,source,objet,17,nmod,65743
9972,9972,1486,3297,,avaient,avoir,False,2513,l' atlantique,atlantique,toponyme::atlantique,toponyme,LOC,a;jusque,cadre,ud_ancetre_verbe,7,obl:arg,65755
9972,9972,1486,3297,,avaient,avoir,False,2514,ces plaines sans limites,ces plaines sans limites,toponyme::ces plaines sans limites,toponyme,LOC,sur,cadre,ud_ancetre_verbe,10,obl:mod,65755
9973,9973,1486,3297,,descendre,descendre,True,2513,l' atlantique,atlantique,toponyme::atlantique,toponyme,LOC,a;jusque,destination,objet,3,obl:arg,65755
