"Verbe";"Macro-catégorie";"Catégorie de base";"Aspect lexical";"Manière";"Paramètre 1";"Paramètre 2";"Définition du TLFi";"Définition de Glawi et du Wiktionnaire";"Commentaire"
"débarouler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"vitesse";"";"";"Dégringoler d'une pente, d'un escalier. / Dévaler. / Arriver de façon violente ou de façon soudaine.";""
"débarquer";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"";"Sortir d'une barque, d'un navire. / (P.ext.) Sortir d'un moyen de transport quelconque, atteindre un lieu. / (Fam.) Arriver à l'improviste.";"Quitter le navire, le bateau, et descendre à terre. / (Par extension) Arriver au lieu où l’on veut aller.";""
"débarquer de";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Sortir d'une barque, d'un navire.";"";""
"déborder 1";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(Gén. un cours d'eau) Dépasser brusquement les bords de son lit et répandre ses eaux. / (Le suj. désigne le contenu liquide) Dépasser les bords de son contenant et se répandre. ";"Dépasser le bord, en parlant des fleuves, des rivières, des étangs, de l'eau en général.";""
"déborder 2";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"Dépasser le(s) bord(s) d'une autre chose, des objets environnants.";"";""
"déboucher 1";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Sortir d'un endroit resserré pour passer dans un lieu plus ouvert. Déboucher dans, sur, à. / Aboutir.";"Sortir d’un endroit resserré pour passer dans un lieu plus ouvert. / (Par extension) Pour un fleuve, une rivière, un canal, voire une route; sortir par l’endroit où ils ont leur embouchure.";""
"déboucher 2";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Apparaître brusquement.";"";""
"débouler 1";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"(re)configuration de la cible";"Tomber rapidement le long d'une pente en roulant comme une boule. / Descendre rapidement.";"Tomber rapidement ou brutalement du haut en bas.";""
"débouler 2";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"Se précipiter sur (quelqu'un), tomber sur (quelqu'un).";"(Par extension) (Populaire) Arriver à toute vitesse. / (Par extension) (Populaire) Arriver à un endroit (perçu par une personne déjà présente).";""
"débouquer";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(MAR.) Quitter une passe, un détroit, un canal étroits pour déboucher en haute mer. ";"Sortir d'une passe, d'un chenal étroit pour arriver à la mer.";""
"débucher";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(CHASSE) (Le suj. désigne un animal) Quitter le refuge du bois sous le harcèlement des chasseurs et arriver en terrain découvert. / P. métaph. [Le suj. désigne une pers.] Apparaître, surgir de façon inattendue.";"(Chasse) Sortir du bois, en parlant des fauves.";""
"décalader";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"instrument";"effort";"";"Descendre par décalade.";""
"décamper";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"";"S'en aller au plus vite, s'enfuir précipitamment / Quitter son domicile, déloger. ";"(Familier) Se retirer précipitamment de quelque lieu, s’enfuir.";""
"décaniller";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(Pop.) S'en aller malgré soi et sans demander son reste. ";"(Familier) Partir ; décamper ; s’en aller.";""
"décarrer 1";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"";"(P. ext.) S'en aller, déguerpir.";"(Argot) Partir sans demander son reste, fuir.";""
"décarrer 2";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Sortir.";"";""
"décliner";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"S'écarter d'une direction donnée.";"S’écarter d’une direction ou d’un point fixe. / (Astronomie) S’éloigner de l’équateur, en parlant d'un astre.";""
"décoller";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"(AVIAT.) (En parlant d'un avion, d'un hydravion, d'un hélicoptère, d'une fusée, etc.) Quitter le sol, le pont d'envol d'un porte-avions, la surface de l'eau. / (Rare et p. ext.) (En parlant d'autres moyens de transport) Partir, appareiller. ";"(Aviation) Quitter le sol pour un aéronef, ou occasionnellement pour d’autres véhicules.";""
"découcher";"Mouvement inféré";"";"télique";"";"";"";"(Vieilli.) Quitter son lit pour le céder à quelqu'un.";"";""
"décrocher";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Se détacher de quelque chose.";"(Par extension) Pour un avion, perte rapide d’altitude entraînée par le décrochage d’au moins une de ses ailes.";""
"déferler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"puissance de la force";"(re)configuration de la cible";"(Le suj. désigne une vague, une succession de vagues, la mer) Se briser en écumant à l'approche d'un obstacle, du rivage. / Surgir, faire irruption brutalement et rapidement. / Démarrer, bondir violemment./ Recouvrir, submerger. / Survenir brutalement, avec une force envahissante. / Se répandre, dans une poussée massive et continue. ";"Se déployer avec impétuosité et se résoudre en écume, en parlant des vagues. / Se ruer, se déployer.";""
"défiler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"(re)configuration de la cible";"forme de la trajectoire";"Marcher en file. / (ART MILIT.) (Le suj. désigne une formation de terre, aérienne, navale) Avancer, se déplacer dans une revue en formation de parade, devant des autorités militaires ou civiles, devant des spectateurs. / (P. anal.) (Le suj. désigne une pers. ou un groupe de pers.) Passer en ordre l'un après l'autre ou les uns après les autres devant des spectateurs. / (Le suj. désigne des pers. ou des inanimés) Passer, se succéder sans interruption.";"Aller en file.";""
"dégager";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(L'obj. désigne un lieu) Rendre ou laisser libre (un lieu), débarrasser (un passage) de ce qui en gênerait l'accès.";"(Vulgaire) Partir, s'en aller.";""
"dégarouler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"vitesse";"";"";"Dévaler.";""
"dégolfer";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"";"Sortir du golf.";""
"dégouliner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"entraînement";"(re)configuration de la cible";"(Fam.) (Le suj. désigne un liquide ou une substance visqueuse) S'écouler goutte à goutte ou abondamment.";"(Familier) Couler goutte à goutte.";""
"dégravir";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"effort";"";"Descendre (ce qu'on avait gravi).";""
"dégredeler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"vitesse";"";"";"(Suisse) Dégringoler, descendre les degrés plus vite qu'on ne le voudrait, rouler en tombant dans un escalier.";""
"dégringoler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"vitesse";"Descendre très rapidement en courant, en sautant. / Se précipiter ou être précipité de haut en bas, généralement avec des rebonds successifs et incontrôlés.";"(Familier) Tomber de haut en bas, le long d’une surface inclinée. / Descendre avec précipitation, dévaler.";""
"déguerpir";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"";"Abandonner un lieu en se sauvant (souvent par crainte). Synon. décamper.";"Sortir, se retirer hâtivement et malgré soi ; fuir.";""
"déjucher";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"(Correspond à déjuc; en parlant des oiseaux, et spéc. des volailles) Quitter le juchoir. ";"Se déplacer d'un lieu haut et élevé. / Sortir du juchoir en parlant des poules.";""
"déluger";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"";"(Rare) Inonder par un déluge.";""
"démancher";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"";"Sortir d'un bras de mer, d'une manche.";""
"démarrer 1";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(MAR.) (Le suj. désigne un bateau) Quitter l'amarrage, sortir du port après avoir largué ses amarres.";"Quitter le port en parlant d’un bâtiment. / (Familier) Quitter une place, en parlant de personnes. On l’emploie surtout avec la négation.";""
"démarrer 2";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(Le suj. désigne un cheval attelé, une voiture hippomobile ou à moteur) Se mettre en marche, commencer à rouler.";"Se mettre en marche ou en mouvement, surtout en parlant d’un véhicule.";""
"déménager";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Changer de logement.";"Sortir du lieu où l’on est. Cela ne se dit guère que d’une personne contrainte de se retirer.";""
"dénicher";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Quitter son nid. / Se retirer avec précipitation d'un lieu où l'on était tranquillement établi (cf. décamper, déguerpir).";"Abandonner le nid. / (Familier) S’évader, se retirer avec précipitation de quelque lieu.";""
"dépasser";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Aller au-delà de quelque chose ou de quelqu'un. / Laisser derrière soi, après l'avoir rejoint, quelque chose ou quelqu'un qui se déplace dans la même direction. / Laisser derrière soi, après l'avoir atteint, quelque chose qui reste fixe.";"Aller au-delà de quelque chose. / Laisser derrière soi, en allant plus vite.";""
"déplanquer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"";"Sortir d'une planque, d'une cachette.";""
"déplonger 1";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"schéma moteur";"milieu";"";"Revenir à la surface.";""
"déplonger 2";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"schéma moteur";"milieu";"";"";""
"déplonger 3";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"milieu";"";"";""
"dérailler";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Sortir des rails.";"Sortir des rails.";""
"déraper";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"entraînement";"";"(En parlant d'un véhicule : bicyclette, automobile, etc.) En changeant, en quittant sa direction initiale, glisser involontairement sur la route par suite d'un défaut d'adhérence au sol. ";"Glisser. / Se déplacer latéralement, en parlant de la roue d'un véhicule en déplacement, soit par suite d'une insuffisance de son adhérence au sol, parce que celui-ci est glissant, ou que, dans un virage, la force centrifuge a exercé une action prépondérante.";""
"dériver";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"entraînement";"";"(Le suj. désigne un navire, un avion...) S'écarter de sa direction en déviant soit dans un sens perpendiculaire, soit dans un sens oblique par rapport à la quille.";"(Marine) (Aéronautique) Dévier de sa route, en parlant d’un vaisseau, sous la poussée du vent ou sous l’action d’un courant.";""
"dervicher";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"";"Tourner comme un derviche.";""
"désalper";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"(Région.) (Alpes fr. et de Suisse) Descendre de l'alpage avec le troupeau à la fin de l'estivage. Anton. alper.";"Redescendre des alpages.";""
"descendre";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"(Implique une idée de mouvement de haut en bas) (Le haut et le bas marquent des niveaux différents dans un obj., une construction, un lieu) Aller (vers le bas), venir (d'en haut). ";"Aller de haut en bas. / Aller de l’amont vers l’aval. Suivre un cours d’eau dans le sens du courant. / (Familier) (Figuré) Aller du nord vers le sud.";""
"désemparer";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(Vx.) Abandonner un endroit. ";"(Désuet) Abandonner le lieu où l'on est, en sortir.";""
"déserter";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Laisser ou rendre un lieu désert (cf. désert I A); le quitter, ne pas s'y rendre. / Abandonner (ou cesser de se rendre en) un lieu auquel se rattachent une fonction ou une tâche particulière et, p. ext., ne pas s'acquitter de celles-ci.";"Abandonner un lieu, pour quelque cause que ce soit.";""
"désescalader";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"";"Redescendre après avoir escaladé.";""
"desservir";"Mouvement inféré";"";"télique";"";"";"";"(Le suj. désigne une voie de communication, un dégagement, un moyen de transport) Assurer un service de communication, servir de dégagement.";"";""
"détaler";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"";"S'éloigner rapidement, souvent sous une menace.";"(Familier) Se retirer d’un endroit promptement et malgré soi.";""
"dévaler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"vitesse";"";"Descendre (une pente, des escaliers), généralement très rapidement./ (Spéc.) (Le suj. désigne un nombre considérable de pers.) Aller, descendre en masse. / ";"Aller de haut en bas.";""
"dévisser 1";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"";"(pop.) S'en aller, partir.";"";""
"dévisser 2";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(ALPINISME) Lâcher prise et tomber au cours d'une escalade en montagne.";"Alpinisme) (figuré) Chuter d'une paroi rocheuse ou glaciaire, sans être retenu par une corde.";""
"digresser";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"";"";""
"dinguer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"puissance de la force";"vitesse";"(Fam.) Tomber, s'effondrer brutalement.";"Tomber brutalement, projeter au loin.";""
"disparaître";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(Le suj. désigne un inanimé concr. ou un animé) Cesser de paraître aux regards, d'être visible. ";"Cesser de paraître ; ne plus être visible.";""
"distancer";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Laisser à distance (derrière soi), dépasser.";"Dépasser d’un intervalle plus ou moins grand.";""
"divaguer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"forme de la trajectoire";"Errer çà et là. / (HYDROGRAPHIE) (Le suj. désigne un cours d'eau) Sortir de son lit pour couler ailleurs.";"Errer. / Avoir un tracé sinueux.";""
